FECHA;HORA;G2_VT_1RLA;G2_VT_1RLO;G2_VT_2RLA;G2_VT_2RLO;G2_VT_ALO;G2_JT_GEN_P;G2_ZT_INY1;G2_ZT_INY2;G2_ZT_INY3;G2_ZT_INY4;G2_ZT_INY5;G2_ZT_INY6
19-07-2019;10:52:05;1.40963;0.464179;1.17647;0.232395;0.454566;13520;43.6118;43.331;41.2802;43.3036;43.3036;43.6469
19-07-2019;10:52:06;1.3756;0.479133;1.08202;0.247501;0.462043;13530;43.6515;43.331;41.3153;43.3036;43.3036;43.6866
19-07-2019;10:52:07;1.50347;0.475624;1.25902;0.22858;0.484474;13530;43.6515;43.331;41.3153;43.3036;43.3448;43.6469
19-07-2019;10:52:08;1.60143;0.467994;1.24392;0.216983;0.514687;13540;43.6118;43.331;41.2802;43.3036;43.3448;43.6469
19-07-2019;10:52:09;1.57153;0.456703;1.2517;0.216983;0.525521;13520;43.6866;43.2959;41.2802;43.3036;43.3448;43.6469
19-07-2019;10:52:10;1.24392;0.471504;1.13481;0.254826;0.439155;13520;43.6515;43.2959;41.2802;43.2685;43.3448;43.6469
19-07-2019;10:52:11;1.42824;0.467994;1.15755;0.216983;0.488289;13520;43.6515;43.331;41.2802;43.3036;43.3036;43.6469
19-07-2019;10:52:12;1.32723;0.464179;1.16106;0.239719;0.454566;13530;43.6515;43.331;41.3153;43.3448;43.3448;43.6866
19-07-2019;10:52:13;1.39803;0.471504;1.28542;0.213474;0.465553;13530;43.6118;43.331;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:52:14;1.45083;0.467994;1.35286;0.243229;0.488289;13550;43.6118;43.331;41.3153;43.2685;43.3448;43.6088
19-07-2019;10:52:15;1.42824;0.467994;1.22881;0.239719;0.476692;13550;43.6515;43.331;41.3153;43.3036;43.3448;43.6469
19-07-2019;10:52:16;1.18044;0.483101;1.15373;0.273747;0.428321;13530;43.6866;43.331;41.2421;43.3036;43.3799;43.6469
19-07-2019;10:52:17;1.47356;0.467994;1.21019;0.277714;0.472877;13530;43.6515;43.2959;41.2802;43.3448;43.3448;43.6469
19-07-2019;10:52:18;1.37987;0.471504;1.10842;0.216983;0.450446;13540;43.6515;43.2959;41.2802;43.3036;43.3448;43.6469
19-07-2019;10:52:19;1.27794;0.471504;1.10491;0.202182;0.465553;13540;43.6515;43.2959;41.3153;43.2685;43.3036;43.6469
19-07-2019;10:52:20;1.34188;0.460212;1.09361;0.22858;0.465553;13520;43.6515;43.3707;41.3153;43.3036;43.3799;43.6866
19-07-2019;10:52:21;1.31945;0.452888;1.29274;0.224918;0.465553;13520;43.6866;43.2959;41.3153;43.3036;43.3799;43.6469
19-07-2019;10:52:22;1.27031;0.460212;1.17647;0.221103;0.458076;13520;43.6515;43.2959;41.3153;43.3448;43.3448;43.7217
19-07-2019;10:52:23;1.20287;0.471504;1.05959;0.247501;0.446479;13540;43.6515;43.331;41.3153;43.3036;43.3448;43.6469
19-07-2019;10:52:24;1.28542;0.471504;1.2137;0.221103;0.428321;13520;43.6515;43.331;41.2802;43.3036;43.3448;43.6469
19-07-2019;10:52:25;1.45464;0.471504;0.999619;0.251316;0.476692;13530;43.6515;43.331;41.2802;43.3036;43.3799;43.6866
19-07-2019;10:52:26;1.58633;0.467994;1.38689;0.235904;0.510872;13530;43.6866;43.3707;41.3153;43.3036;43.3036;43.6866
19-07-2019;10:52:27;1.36095;0.456703;1.07118;0.213474;0.435645;13530;43.6866;43.331;41.2421;43.3448;43.3799;43.6866
19-07-2019;10:52:28;1.38338;0.471504;1.19127;0.213474;0.484474;13540;43.6515;43.331;41.3153;43.3036;43.3448;43.6866
19-07-2019;10:52:29;1.33806;0.456703;1.24392;0.247501;0.472877;13540;43.6515;43.2959;41.2802;43.3036;43.3448;43.6469
19-07-2019;10:52:30;1.26299;0.467994;1.04845;0.224918;0.458076;13530;43.6515;43.331;41.2421;43.3036;43.3448;43.6866
19-07-2019;10:52:31;1.31945;0.464179;1.10842;0.202182;0.420233;13530;43.6515;43.3707;41.2421;43.3036;43.3799;43.6866
19-07-2019;10:52:32;1.18395;0.475624;1.08202;0.247501;0.465553;13530;43.6515;43.331;41.2421;43.3036;43.3799;43.7217
19-07-2019;10:52:33;1.47356;0.483101;1.12734;0.221103;0.465553;13540;43.6866;43.331;41.2421;43.2685;43.3036;43.6088
19-07-2019;10:52:34;1.35698;0.467994;1.21767;0.213474;0.458076;13540;43.6515;43.331;41.2802;43.3448;43.3036;43.6088
19-07-2019;10:52:35;1.32723;0.467994;1.19127;0.224918;0.469368;13540;43.6515;43.2959;41.2802;43.3036;43.3036;43.6469
19-07-2019;10:52:36;1.39803;0.464179;1.24743;0.205997;0.454566;13540;43.6515;43.331;41.2802;43.3036;43.3448;43.6866
19-07-2019;10:52:37;1.34936;0.471504;1.22118;0.205997;0.446479;13530;43.6515;43.3707;41.2421;43.3036;43.3448;43.6866
19-07-2019;10:52:38;1.38338;0.460212;1.24392;0.239719;0.469368;13530;43.6515;43.331;41.2802;43.3036;43.3448;43.6866
19-07-2019;10:52:39;1.20287;0.460212;1.2401;0.232395;0.454566;13530;43.6515;43.331;41.2421;43.3448;43.3036;43.6088
19-07-2019;10:52:40;1.28542;0.456703;1.14641;0.221103;0.43183;13550;43.6515;43.331;41.2421;43.3036;43.3448;43.6469
19-07-2019;10:52:41;1.62768;0.467994;1.34188;0.22858;0.488289;13540;43.6118;43.331;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:52:42;1.46975;0.452888;1.2517;0.224918;0.450446;13530;43.6515;43.3707;41.2802;43.3036;43.3799;43.6469
19-07-2019;10:52:43;1.32296;0.471504;1.16106;0.202182;0.43183;13530;43.6118;43.331;41.2802;43.3036;43.3448;43.6866
19-07-2019;10:52:44;1.05959;0.471504;0.992142;0.213474;0.390326;13530;43.6866;43.331;41.3153;43.3036;43.3799;43.6469
19-07-2019;10:52:45;1.21416;0.475624;0.988327;0.232395;0.424048;13530;43.6866;43.331;41.2802;43.3448;43.3036;43.6088
19-07-2019;10:52:46;1.26299;0.467994;1.02937;0.190585;0.495766;13550;43.6515;43.331;41.2802;43.3036;43.3448;43.6469
19-07-2019;10:52:47;1.23659;0.464179;1.16106;0.205997;0.507362;13550;43.6118;43.331;41.2421;43.2685;43.3036;43.6469
19-07-2019;10:52:48;1.56344;0.467994;1.37911;0.25864;0.514687;13530;43.6515;43.331;41.2802;43.3036;43.3448;43.6866
19-07-2019;10:52:49;1.55612;0.460212;1.29656;0.221103;0.50309;13520;43.6118;43.331;41.3153;43.3036;43.3448;43.6866
19-07-2019;10:52:50;1.34585;0.467994;1.18395;0.22858;0.518196;13540;43.6515;43.2959;41.3153;43.3036;43.3448;43.6469
19-07-2019;10:52:51;1.36446;0.452888;1.04494;0.235904;0.476692;13540;43.6515;43.331;41.2421;43.3036;43.3448;43.6469
19-07-2019;10:52:52;1.15404;0.471504;1.01122;0.247501;0.450446;13540;43.6118;43.3707;41.2802;43.3036;43.3448;43.6469
19-07-2019;10:52:53;1.22179;0.460212;1.07469;0.221103;0.480964;13530;43.6515;43.331;41.2421;43.3448;43.3448;43.6469
19-07-2019;10:52:54;1.02586;0.471504;1.02937;0.209506;0.442969;13530;43.6118;43.2959;41.2802;43.3036;43.3036;43.6469
